AATF	ENSG00000275700
ABCC1	ENSG00000103222
ABCC6	ENSG00000091262
ABCF1	ENSG00000204574
ABHD16A	ENSG00000204427
ABR	ENSG00000159842
ACACA	ENSG00000278540
ADAM32	ENSG00000197140
ADAMTS12	ENSG00000151388
AGPAT1	ENSG00000204310
AK6	ENSG00000085231
AP2A2	ENSG00000183020
APBA1	ENSG00000107282
APBA2	ENSG00000034053
ARHGAP11A	ENSG00000198826
ARHGAP23	ENSG00000275832
ARHGAP27	ENSG00000159314
ARHGEF10	ENSG00000104728
ARHGEF26	ENSG00000114790
ARL17B	ENSG00000228696
ARMC10	ENSG00000170632
ATF6B	ENSG00000213676
B2M	ENSG00000166710
B3GALT4	ENSG00000235863
B3GNTL1	ENSG00000175711
BAG6	ENSG00000204463
BDH1	ENSG00000161267
BDP1	ENSG00000145734
BMERB1	ENSG00000166780
BRD2	ENSG00000204256
BTG3	ENSG00000154640
C2	ENSG00000166278
C4A	ENSG00000244731
C4B	ENSG00000224389
C6orf136	ENSG00000204564
C6orf47	ENSG00000204439
CARS1	ENSG00000110619
CATSPERB	ENSG00000133962
CCDC125	ENSG00000183323
CCDC92	ENSG00000119242
CCHCR1	ENSG00000204536
CCL16	ENSG00000275152
CCL4	ENSG00000275302
CDC42EP5	ENSG00000167617
CDHR5	ENSG00000099834
CDK7	ENSG00000134058
CDKN1C	ENSG00000129757
CEP20	ENSG00000133393
CES1	ENSG00000198848
CFB	ENSG00000243649
CHGA	ENSG00000100604
CISD3	ENSG00000277972
CLIC1	ENSG00000213719
CLK2	ENSG00000176444
CLPTM1L	ENSG00000049656
CNOT3	ENSG00000088038
CSNK2B	ENSG00000204435
CTSO	ENSG00000256043
CWC25	ENSG00000273559
CYFIP1	ENSG00000273749
DAXX	ENSG00000204209
DDAH2	ENSG00000213722
DDR1	ENSG00000204580
DDX24	ENSG00000089737
DDX39B	ENSG00000198563
DDX52	ENSG00000278053
DHRS11	ENSG00000278535
DHX16	ENSG00000204560
DHX36	ENSG00000174953
DLG5	ENSG00000151208
