samples,nonDriverCoding,nonDriverRegulation,nonDriverIntronic,nonDriverintergenic,DriverNonCoding
case15_11,43,256,1216,1463,13
case9_S3,66,479,2635,3392,47
case2_S2,49,231,1187,1446,8
case9_S2,49,336,1931,2508,36
case12_S9,10,63,289,329,1
case13_5,44,249,1277,1599,10
case3_2,5,68,317,341,3
case13_3,9,65,310,411,3
case12_S13,38,246,1140,1429,8
case7_1,44,231,1249,1597,13
case11_S7,107,725,3105,3087,29
case15_3,1,10,34,37,0
case2_S10,5,2,22,27,0
case7_4,86,598,3118,3549,33
case4_S5,1,3,12,19,0
case16_5,26,229,1142,1266,11
case7_5,85,596,3120,3581,33
case15_4,42,323,1679,1992,14
case13_4,0,0,6,10,0
case9_S4,28,254,1457,1972,12
case4_S2,7,67,271,314,1
case11_S8,0,1,4,11,1
case2_S4,1,31,133,173,2
case4_S3,13,80,368,420,2
case12_S11,42,291,1510,1809,9
case10_2,30,223,1060,1287,9
case16_2,18,183,902,1175,13
case15_10,7,94,431,480,6
case9_S6,25,177,1016,1280,17
case10_5,37,262,1261,1537,6
case3_5,0,0,5,7,0
case6_S8,53,365,1802,2427,25
case6_S7,68,474,2337,3137,28
case4_S1,7,100,399,513,3
case15_1,5,27,112,145,1
case3_4,22,166,844,1048,10
case16_4,15,162,712,767,7
case3_1,19,105,534,651,8
case6_S9,51,332,1641,2228,23
case4_S4,3,30,148,167,2
case12_S10,37,246,1125,1406,9
