samples,SV2,SV4,SV5,SV7,SV9,SV10,typeTumorSample
case13_S4,15,0,0,0,0,0,t1_pancreatistis_case13_S4
case10_S2,36,0,0,0,0,0,t2_IPMN_LGD_case10_S2
case10_S5,17,0,0,0,0,0,t2_IPMN_LGD_case10_S5
case12_S1,12,0,0,0,0,0,t2_IPMN_LGD_case12_S1
case12_S2,24,0,0,0,0,0,t2_IPMN_LGD_case12_S2
case12_S3,34,0,0,0,0,0,t2_IPMN_LGD_case12_S3
case12_S5,5,0,9,0,0,0,t2_IPMN_LGD_case12_S5
case15_S1,15,0,0,0,0,0,t2_IPMN_LGD_case15_S1
case15_S3,17,0,0,0,0,0,t2_IPMN_LGD_case15_S3
case2_S10,26,0,0,0,0,0,t2_IPMN_LGD_case2_S10
case3_S1,24,0,0,0,0,0,t2_IPMN_LGD_case3_S1
case3_S2,21,0,0,0,0,0,t2_IPMN_LGD_case3_S2
case3_S4,23,0,0,0,0,0,t2_IPMN_LGD_case3_S4
case4_S1,10,0,0,7,17,0,t2_IPMN_LGD_case4_S1
case4_S3,13,0,0,3,0,0,t2_IPMN_LGD_case4_S3
case4_S4,1,0,2,2,0,0,t2_IPMN_LGD_case4_S4
case4_S5,3,0,4,0,0,0,t2_IPMN_LGD_case4_S5
case15_S4,7,0,5,0,0,0,t3_IPMN_HGD_case15_S4
case16_S2,27,0,0,0,0,25,t3_IPMN_HGD_case16_S2
case2_S2,122,0,0,0,0,0,t3_IPMN_HGD_case2_S2
case2_S4,3,0,4,2,0,0,t3_IPMN_HGD_case2_S4
case7_S1,44,0,0,0,76,0,t3_IPMN_HGD_case7_S1
case6_S7,65,0,0,51,57,0,t4_IPMN_HGD_PDAC_case6_S7
case7_S4,29,20,99,0,0,0,t4_IPMN_HGD_PDAC_case7_S4
case7_S5,41,20,83,0,0,0,t4_IPMN_HGD_PDAC_case7_S5
case9_S4,11,0,0,8,21,29,t4_IPMN_HGD_PDAC_case9_S4
case4_S2,3,0,0,3,0,0,t5_PDAC_IPMN_LGD_case4_S2
case11_S7,0,0,0,0,45,0,t6_PDAC_case11_S7
case11_S8,0,0,2,0,0,0,t6_PDAC_case11_S8
case13_S3,10,0,0,7,0,13,t6_PDAC_case13_S3
case13_S5,24,0,0,0,0,44,t6_PDAC_case13_S5
case15_S10,38,0,0,0,0,0,t6_PDAC_case15_S10
case15_S11,29,22,0,0,0,51,t6_PDAC_case15_S11
case16_S4,19,33,0,0,36,0,t6_PDAC_case16_S4
case16_S5,109,76,0,0,0,0,t6_PDAC_case16_S5
case3_S5,14,0,0,0,0,0,t6_PDAC_case3_S5
case6_S8,30,14,0,36,61,0,t6_PDAC_case6_S8
case6_S9,39,14,0,37,56,0,t6_PDAC_case6_S9
case9_S2,22,0,27,25,0,0,t6_PDAC_case9_S2
case9_S3,50,0,108,20,0,0,t6_PDAC_case9_S3
case9_S6,9,0,0,9,0,15,t6_PDAC_case9_S6
