tumorStage,typeTumorSample,snv_indel_TMB
IPMN,t1_pancreatistis_case13_S4,0.03565359
IPMN,t2_IPMN_LGD_case10_S2,1.320042066
IPMN,t2_IPMN_LGD_case10_S5,1.654432915
IPMN,t2_IPMN_LGD_case12_S1,0.934780366
IPMN,t2_IPMN_LGD_case12_S2,1.204463813
IPMN,t2_IPMN_LGD_case12_S3,4.819898375
IPMN,t2_IPMN_LGD_case12_S5,1.268713185
IPMN,t2_IPMN_LGD_case15_S1,0.482101322
IPMN,t2_IPMN_LGD_case15_S3,0.128355006
IPMN,t2_IPMN_LGD_case2_S10,0.123734121
IPMN,t2_IPMN_LGD_case3_S1,1.783873339
IPMN,t2_IPMN_LGD_case3_S2,1.103883758
IPMN,t2_IPMN_LGD_case3_S4,2.774831973
IPMN,t2_IPMN_LGD_case4_S1,1.41767122
IPMN,t2_IPMN_LGD_case4_S3,0.855987195
IPMN,t2_IPMN_LGD_case4_S4,0.453644172
IPMN,t2_IPMN_LGD_case4_S5,0.046360816
IPMN,t3_IPMN_HGD_case15_S4,2.824266593
IPMN,t3_IPMN_HGD_case16_S2,3.122542984
IPMN,t3_IPMN_HGD_case2_S2,1.928428385
IPMN,t3_IPMN_HGD_case2_S4,0.51767882
IPMN,t3_IPMN_HGD_case7_S1,3.881309808
PDAC,t4_IPMN_HGD_PDAC_case6_S7,7.800868529
PDAC,t4_IPMN_HGD_PDAC_case7_S4,5.562646333
PDAC,t4_IPMN_HGD_PDAC_case7_S5,4.236464977
PDAC,t4_IPMN_HGD_PDAC_case9_S4,7.176790484
PDAC,t5_PDAC_IPMN_LGD_case4_S2,0.766497064
PDAC,t6_PDAC_case11_S7,8.78099152
PDAC,t6_PDAC_case11_S8,0.04679276
PDAC,t6_PDAC_case13_S3,1.44914184
PDAC,t6_PDAC_case13_S5,5.20865359
PDAC,t6_PDAC_case15_S10,1.333031289
PDAC,t6_PDAC_case15_S11,3.030517831
PDAC,t6_PDAC_case16_S4,2.463646547
PDAC,t6_PDAC_case16_S5,4.873812403
PDAC,t6_PDAC_case3_S5,0.036857954
PDAC,t6_PDAC_case6_S8,5.193229903
PDAC,t6_PDAC_case6_S9,5.933248192
PDAC,t6_PDAC_case9_S2,7.999091902
PDAC,t6_PDAC_case9_S3,8.815040511
PDAC,t6_PDAC_case9_S6,3.718708412
