typeTumorSample,deletion,inversion,tandem-duplication,translocation
t3_case15_S4,7,2,0,6
t2_case12_S3,6,2,4,26
t3_case7_S1,28,52,25,20
t2_case10_S5,4,3,0,11
t3_case2_S2,22,32,19,50
t2_case12_S5,8,1,1,5
t2_case12_S2,3,3,3,15
t2_case10_S2,9,2,0,28
t3_case16_S2,17,18,5,14
t2_case3_S4,10,1,0,15
t2_case3_S1,7,2,1,15
t2_case4_S1,19,6,4,6
t2_case4_S3,6,2,0,10
t2_case3_S2,11,0,0,16
t2_case12_S1,5,1,0,9
t2_case4_S4,5,0,0,1
t3_case2_S4,4,1,1,3
t2_case15_S1,6,0,0,12
t2_case15_S3,5,0,0,14
t2_case2_S10,5,0,1,21
t2_case4_S5,4,0,1,3
t1_case13_S4,2,2,2,10
 ,0,0,0,0
t4_case7_S5,43,47,22,40
t4_case7_S4,46,54,26,31
t6_case11_S7,16,21,8,2
t6_case9_S3,72,35,36,38
t4_case6_S7,71,46,21,37
t6_case9_S2,33,17,11,14
t6_case6_S8,57,42,21,24
t6_case6_S9,59,40,20,29
t4_case9_S4,20,25,21,8
t6_case13_S5,21,33,7,12
t6_case15_S11,24,36,26,25
t6_case16_S5,23,41,13,111
t6_case9_S6,12,8,7,6
t6_case16_S4,17,27,8,42
t6_case15_S10,8,10,9,14
t6_case13_S3,10,15,2,5
t5_case4_S2,5,0,0,2
t6_case11_S8,1,0,1,0
t6_case3_S5,5,0,0,9
