black	blue	brown	cyan	darkgreen	darkgrey	darkorange	darkred	darkturquoise	green	greenyellow	grey60	lightcyan	lightgreen	lightyellow	magenta	midnightblue	orange	pink	purple	red	royalblue	salmon	tan	turquoise	yellow
MTMR7	ENPP4	CFH	AK2	POLR3B	CHI3L2	PRSS3	PHLDB1	ADAM22	C1orf112	7SK	SCYL3	SEMA3G	LARS2	HSPB6	FGR	METTL13	SLC39A9	NDUFAB1	DPM1	CD38	TRAF3IP3	FUCA2	ERP44	KRIT1	SEMA3F
ARX	CFTR	CD99	DNAJC11	ACTR6	SP100	CPA1	MPPED2	HGF	M6PR	RNU12	SH3YL1	FOXN3	ALAS1	MEOX1	ITGAL	GLRX2	JKAMP	SLC25A5	NME2	PDK4	ACAP1	IBTK	HSPA5	RAD52	ANKIB1
ABCC8	CYP51A1	HECW1	KPNA6	NUP37	IFI35	AQP8	NAV3	CYBRD1	FKBP4	RNU1-14P	CUL3	CALCRL	RHOA	CLDN11	CEACAM21	ADSS	GOLGA5	RPS20	UTP18	FBXL3	ARHGAP15	PSMB1	PHPT1	CFLAR	MAD1L1
CEACAM7	ABP1	PLXND1	SARS	SLC25A3	LAMP3	FGL1	PTPN21	ITGA8	GGCT	SNORD3D	NSF	TIE1	EXOSC7	EPHA3	CD4	PPP2R5A	EXOC5	MDH1	SLC25A39	CD79B	CST7	VTA1	RC3H2	RBM5	CDC27
CACNA2D2	LASP1	RECQL	FAM136A	SART3	OAS1	SERPINI2	MOV10L1	KCNK2	DBF4	7SK	TXLNG	RASGRP2	MLH1	PREX2	BTK	IARS2	HSP90AA1	MRPL43	TTC27	MYLIP	P2RY10	PGM3	DNAJC25	RBM6	WDR54
MAPK8IP2	TMEM176A	COPZ2	POLR2B	UNG	DDX58	REG1A	TNS1	ZDHHC15	E2F2	7SK	SUCO	GPR116	TOP2B	LMO3	TYROBP	NUP133	PSME1	RPL18	TOMM34	RWDD2A	SIRPG	RNF14	IKBKAP	CAMKK1	ITGA3
SYT7	ICA1	CRLF1	NOP16	TMED2	CTSC	NR5A2	PCDHGA2	FOXF1	CD9	U1	KIF3B	SH2D3C	KIF9	ELN	WAS	FH	SCFD1	RPL31	RPL26L1	ACPP	GRAP2	UFL1	ZCCHC6	ARHGAP33	CCL3
LTF	DBNDD1	PHTF2	MRTO4	DYNLL1	OAS3	RBPJL	EFR3B	SFRP1	NCAPD2	7SK	WDR13	CCM2L	CMTM6	KIAA2022	CD74	CUTA	SUPT16H	HSD17B10	THOC3	ZMYND11	GZMH	CCDC28A	DNAJA1	ABCB5	TMEM132A
NR1H4	CASP10	PAFAH1B1	TRAPPC3	BRAP	OAS2	KIRREL2	NFATC4	CPED1	ANLN	SNORA71D	GLTSCR2	PPP1R16B	ILVBL	PSD	PLEKHO1	CACYBP	TOX4	RPS5	MRPS24	ISL1	SLA2	HSF2	SPTLC1	CREBBP	TNFRSF12A
SLC7A14	SARM1	GAS7	THRAP3	ERP29	STAT1	CLPS	CORO2B	SFRP4	BRCA1	SNORA38B	RNF167	CHRDL1	ACTR8	NGFR	MSR1	SCAMP3	GEMIN2	RPL6	KARS	SLAMF7	RASAL3	SEC63	PSMD5	BZRAP1	JARID2
DPEP1	UPF1	CYTH3	PITHD1	PSMD9	FBXO6	CUZD1	PTPRS	OGN	TACC3	7SK	MLEC	CPQ	OGG1	PDZD4	LCP2	LAMTOR2	TINF2	RPLP0	NDUFB4	GAB2	GZMK	TBPL1	NUP188	ABCB4	SPAG9
C6	ACSM3	IFFO1	SEC61A1	PRDM4	IFIT3	ERP27	TMEM59L	ENG	BID	7SK	C12orf49	RASIP1	PRKAR2A	RUNX1T1	CELF2	EXOC8	FKBP3	IGBP1	ZC3H15	STAP1	ITK	BCLAF1	NANS	MLL5	BAZ1B
CDH10	SPPL2B	FYN	YIPF1	COQ5	IFIT2	CTRL	DNM1	SEPT4	DERA	7SK	GOLPH3	RUNDC3B	TUSC2	MOXD1	CD84	GNPAT	PSMC6	NDUFB7	MTHFD2	TNFRSF17	ZAP70	PEX3	TBC1D2	ZNF195	STARD3NL
PTPRN	PDK2	HIVEP2	TMEM48	METAP2	CD274	CELA2A	CNTNAP1	GLRB	STRAP	RN7SKP10	FAM20B	LHX6	NPRL2	PGR	SPI1	TSNAX	CNIH	EIF3L	DDX1	HERPUD1	CD2	GABARAPL2	FKTN	ITGA2B	MKS1
KCNH2	OSBPL7	FMO1	SNRNP40	ARPC3	NMI	CELA3A	PCDHB3	TSPAN11	DEPDC1	U1	EDEM3	PALD1	CYB561D2	GNAO1	APBB1IP	TBCE	ATP6V1D	TOMM22	MRPL22	GYG2	SLAMF1	MAT2B	SEC61B	YBX2	CLCA4
RASGRF1	TMEM98	MRC2	ISOC2	GPN3	ZNFX1	REG3G	ZSCAN18	MGP	HMGB3	7SK	IVNS1ABP	RBM24	KLHL18	NRXN2	SLC1A3	UAP1	PSMA3	RPL3	TAF9	TBXAS1	CD48	GOPC	FUBP3	MAP3K14	SLC38A5
CAMK2B	BAIAP2L1	TSPAN9	BTBD1	VPS29	IFI6	CPB1	GLIS2	GHR	NUP160	7SK	CD46	SMOC2	WDR48	GLI1	PTPRC	KLHL12	VTI1B	EIF3D	MTIF2	ZMYND12	CCR2	GINM1	EDF1	TBXA2R	SNAPC1
RIMBP2	ALDH3B1	KAL1	GNAI3	CDK2AP1	BST2	SLC30A2	RNF112	PLSCR4	ABCF2	7SK	ATF6	ANGPTL1	GORASP1	GPR133	PILRA	RBBP5	ERH	SEC23B	DIMT1	THUMPD1	ZNF831	ATG5	SETX	IFRD1	PHF20
SNAP91	TTC22	RNF216	WDR3	GTF2H3	KLHDC7B	CPA2	SOX5	PDE1A	UHRF1	7SK	SLC17A5	FILIP1	FOXP1	PDE8B	CASS4	APH1A	EIF5	AHCY	DDX18	TESK2	CCR7	MPC1	FAM108B1	CDKL3	TYMP
